id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
116,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
111,443,2014-10-20,09:15:00-10:15:00,(TE2)Tecnologies,(ESO LOE 2 C) 2 ESO C,Absència,
111,439,2014-10-20,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Absència,
305,431,2014-10-20,10:40:00-11:35:00,(CM)Ciències per al món contemporani,(BATX LOE 1 A) 1 BATX ,Absència,
225,447,2014-10-20,08:15:00-09:15:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 C) 1 ESO C,Absència,
59,439,2014-10-20,10:40:00-11:35:00,(MA2)Matemàtiques,(ESO LOE 2 B) 2 ESO B,Absència,
149,439,2014-10-20,12:50:00-13:45:00,(MA2)Matemàtiques,(ESO LOE 2 A) 2 ESO A,Justificada,
38,439,2014-10-20,12:50:00-13:45:00,(MA2)Matemàtiques,(ESO LOE 2 A) 2 ESO A,Absència,
339,447,2014-10-20,09:15:00-10:15:00,(IA4)Llengua estrangera Anglès,(ESO LOE 4 B) 4 ESO B,Incident,A l hora del desdoblament d anglès la professora Carme Santolaria s ha queixat que aquest alumne estava jugant a l ordinador en comptes d estar fent la feina d anglès de la seva pàgina web Voices.
188,447,2014-10-20,09:15:00-10:15:00,(IA4)Llengua estrangera Anglès,(ESO LOE 4 B) 4 ESO B,Incident,A l hora del desdoblament d anglès la professora Carme Santolaria s ha queixat que aquest alumne estava jugant a l ordinador en comptes d estar fent la feina d anglès de la seva pàgina web Voices.
262,446,2014-10-20,13:45:00-14:45:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Absència,
232,446,2014-10-20,13:45:00-14:45:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Justificada,
239,446,2014-10-20,13:45:00-14:45:00,(IA1)Llengua estrangera Anglès,(ESO LOE 1 A) 1 ESO A,Justificada,
111,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Absència,
171,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
98,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
132,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
185,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
39,446,2014-10-20,10:40:00-11:35:00,(IA2)Llengua estrangera Anglès,(ESO LOE 2 C) 2 ESO C,Incident,
